sample.samplingPoint,longitude,latitude,area,subarea
AN-RSN0529,0.844014,51.676898,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-2,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-2-M
AN-RSN0533,1.27271,52.158884,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-2,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-2-H
AN-RSN1504,-0.116823,53.011268,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
AN-RSN0405,1.129575,52.473175,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-2,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-2-H
AN-RSN0542,-0.308914,52.790349,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
AN-RSN0558,-0.402456,52.391938,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-1,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-S
AN-RSN0030,-0.326625,52.689708,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
AN-RSN1518,-0.53884,52.626866,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
AN-RSN1506,-0.64964,52.13878,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-1,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-S
AN-CLNMON1,-0.14655,53.644809,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-9
AN-CONT29,-0.003344,53.623834,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-9
AN-HUMB7702,-0.231014,53.693956,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-9
AN-HU506426,-0.386332,53.719898,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-9
AN-HU510427,-0.333978,53.733106,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-9
AN-HU504425,-0.425763,53.711056,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-9
AN-TL35075S,-0.054992,52.184575,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-1,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-O
AN-TL27054G,-0.207466,52.322589,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-1,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-S
AN-ROWHTHFM,1.122416,51.832121,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-2,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-2-M
AN-SK976082,-0.558184,52.663127,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
AN-TF109452,-0.349633,52.993186,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
AN-TF402783,0.101285,53.284928,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
AN-TF169431,-0.260639,52.973083,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
AN-TF167399,-0.264203,52.944717,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
AN-L00O0901,-0.384713,52.859543,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
AN-L00S0022,-0.152445,52.866414,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
AN-SKILLBH,-0.293089,53.627167,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
AN-SE988210,-0.504576,53.676226,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
AN-ADAMSSP,-0.450724,52.593794,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
AN-TA016013,-0.469444,53.49919,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
AN-TL05060L,-0.47273,52.147232,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-1,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-S
AN-TF60068S,0.359654,52.574276,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-1,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-O
AN-37HOLTRD,0.939635,52.749329,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-2,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-2-H
AN-SK983434,-0.536282,52.978118,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
AN-TL34079S,-0.019191,52.104672,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-1,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-O
AN-TF60059S,0.465361,52.649505,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-1,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-O
AN-TF60079S,0.455522,52.644351,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-1,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-O
AN-TF036443,-0.458025,52.985732,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C
